"Presentation.Setting","Intervention","Description","Reference.s.","Calculations","model_param","base_case","PSA_distribution","PSA_low","PSA_high","references.calculations.for.distributional.information","DSA_flag","DSA_low","DSA_high","mrs","age"
"early;CSC","no intervention","% of those eligible that get ivt","SSNAP 2023/2024. https://www.strokeaudit.org/  , SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","Median value from 2019 - 2024 data from Apr2023Mar2024-AnnualResultsPortfolio.xlsx taken","p.eivt2ivt",0.904238502763125,"uniform",0.895193890763965,0.913002940431453,"","",NA,NA,NA,NA
"early;ASC","intervention","% of those eligible that get ivt","SSNAP 2023/2024. https://www.strokeaudit.org/  , SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","Median value from 2019 - 2024 data from Apr2023Mar2024-AnnualResultsPortfolio.xlsx taken & OR from OR.ivt values","p.eivt2ivt",0.910113221643626,"based on OR sample",0.888102155828402,0.930325521855967,"","",NA,NA,NA,NA
"early;CSC","intervention","% of those eligible that get ivt","SSNAP 2023/2024. https://www.strokeaudit.org/  , SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","Median value from 2019 - 2024 data from Apr2023Mar2024-AnnualResultsPortfolio.xlsx taken, mean value for CSCs","p.eivt2ivt",0.949372061023272,"based on OR sample",0.94131635446132,0.95609561200212,"","",NA,NA,NA,NA
"all","all","% of those that get a CTA","Assumption",NA,"p.cta",1,"",NA,NA,"","",NA,NA,NA,NA
"early","no intervention","% of ivt patients that are eligible for MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","Calculating % eligible for MT using McMeekin 2024; LATE: 5510/(4710+4340) , EARLY: 9420/12350. No distinction between those with ivt/noivt made. ","p.ivt2emt",0.750998870762506,"beta",0.533396174130754,0.910311510365585,"PSA_low is the uncertainty k value, for DSA low value from Westwood et al 2024 (multiplied by p.lvonihss), high value capped at 80% multiplied by p.lvo.nihss","y",0.412,0.8,NA,NA
"early","no intervention","% of patients who didn't get ivt who are eligble for MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","Calculating % eligible for MT using McMeekin 2024; LATE: 5510/(4710+4340) , EARLY: 9420/12350. No distinction between those with ivt/noivt made","p.noivt2emt",0.751434410750963,"beta",0.535519481874776,0.909713972543531,"PSA_low is the uncertainty k value, for DSA low value from Westwood et al 2024 (multiplied by p.lvonihss), high value capped at 80% multiplied by p.lvo.nihss","y",0.412,0.8,NA,NA
"early;ASC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.ivt.emt2mt",0.699938147845277,"beta",0.495392405478509,0.864501554615551,"PSA_low is the uncertainty k value","",NA,NA,NA,NA
"early;ASC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.noivt.emt2mt",0.100613721853045,"beta",0.01370469745618,0.259299909513927,"PSA_low is the uncertainty k value","",NA,NA,NA,NA
"early;CSC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.ivt.emt2mt",0.902884366122492,"beta",0.737265178950288,0.987336712562983,"PSA_low is the uncertainty k value","",NA,NA,NA,NA
"early;CSC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.noivt.emt2mt",0.200780362473783,"beta",0.0671069195892055,0.403820579886067,"PSA_low is the uncertainty k value","",NA,NA,NA,NA
"late;ASC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.emt2mt",0.101972340115514,"beta",0.0169150048438724,0.263073065146487,"PSA_low is the uncertainty k value","",NA,NA,NA,NA
"late;CSC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report  & ","back calculated based on reference data and other parameter values see supplementary material","p.emt2mt",0.296442766388345,"beta",0.123123803165835,0.503260650147433,"PSA_low is the uncertainty k value","",NA,NA,NA,NA
"early;ASC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.ivt.emt2mt",0.841348346450098,"based on OR sample",0.688762791416614,0.940098184445083,"","",NA,NA,NA,NA
"early;ASC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.noivt.emt2mt",0.200678304182261,"based on OR sample",0.0290743248213796,0.461698489189066,"","",NA,NA,NA,NA
"early;CSC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.ivt.emt2mt",0.921077592678377,"based on OR sample",0.779616596023256,0.98961142960186,"","",NA,NA,NA,NA
"early;CSC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.noivt.emt2mt",0.240627039036399,"based on OR sample",0.080423580545749,0.462526630844933,"","",NA,NA,NA,NA
"late;ASC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.emt2mt",0.203055372938797,"based on OR sample",0.0387573016480903,0.479069838187765,"","",NA,NA,NA,NA
"late;CSC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.emt2mt",0.347250966989792,"based on OR sample",0.150360090753966,0.57420891332571,"","",NA,NA,NA,NA
"late;ASC","all","% of late stroke patients that are eligible for MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","Calculating % eligible for MT using McMeekin 2024; LATE: 5510/(4710+4340) = ~60% , EARLY: 9420/12350 ~ 75% (rounded to 5s/10s as a rough indicator. No distinction between those with ivt/noivt made. Then adjusted to include just LVO & NIHSS > 6 ","p.emt",0.607130457426125,"beta",0.387750878541702,0.817241452772128,"","",NA,NA,NA,NA
"late;CSC","all","% of late stroke patients that are eligible for MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","Calculating % eligible for MT using McMeekin 2024; LATE: 5510/(4710+4340) = ~60% , EARLY: 9420/12350 ~ 75% (rounded to 5s/10s as a rough indicator. No distinction between those with ivt/noivt made.","p.emt",0.602090736750028,"beta",0.383611151444503,0.792686947926753,"PSA_low is the uncertainty k value, for DSA low value from Westwood et al 2024 (multiplied by p.lvonihss), high value capped at 80% multiplied by p.lvo.nihss","y",0.412,0.8,NA,NA
"late","all","Split between CTP and MRI imaging (CTP)","SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report","Thrombectomy report states “IF perfusion imaging done” - 98% CTP, 2% CTP + MRP (where MRP is a type of MRI). I’ve therefore set 98% CTP and 2% CTP and MRI (With contrast) for the pricing. Assuming just MRI (no CTP) not occuring, similar numbers in 2022-23 report","p.ctpmri.split",0.98,"",NA,NA,"","",NA,NA,NA,NA
"early","all","Probability of getting CTP ","Perfusion Imaging for Endovascular Thrombectomy in Acute Ischemic Stroke Is Associated With Improved Functional Outcomes in the Early and Late Time Windows","","p.ctp",0.185,"",NA,NA,"","",NA,NA,NA,NA
"late","all","Probability of getting CTP ","Perfusion Imaging for Endovascular Thrombectomy in Acute Ischemic Stroke Is Associated With Improved Functional Outcomes in the Early and Late Time Windows","","p.ctp",0.361,"",NA,NA,"","",NA,NA,NA,NA
"all","intervention","Cost per B360S","NICE statement https://www.nice.org.uk/guidance/dg57/documents/514","1 off cost","c.360.csc",32000,"",NA,NA,"","y",30000,60000,NA,NA
"all","intervention","Cost per B360S","NICE statement https://www.nice.org.uk/guidance/dg57/documents/514","1 off cost","c.360.asc",16000,"",NA,NA,"","y",15000,30000,NA,NA
"all","intervention","Training costs associated with the intervention","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.","1 off cost","c.train",3220,"",NA,NA,"high value from NIHR report","y",0,8000,NA,NA
"all","all","Cost of non-contrast CT","NHS reference costs 22/23. www.england.nhs.uk/pay-syst/national-tariff/national-tariff-payment-system/","RD20A	Computerised Tomography Scan of One Area, without Contrast, 19 years and over	69","c.nct",69,"",NA,NA,"","",NA,NA,NA,NA
"all","all","Cost of CTA","NHS reference costs 22/23. www.england.nhs.uk/pay-syst/national-tariff/national-tariff-payment-system/","RD22Z	Computerised Tomography Scan of One Area, with Pre- and Post-Contrast	87","c.cta",87,"",NA,NA,"","",NA,NA,NA,NA
"all","all","Cost of CTP","NHS reference costs 22/23. www.england.nhs.uk/pay-syst/national-tariff/national-tariff-payment-system/","RD22Z	Computerised Tomography Scan of One Area, with Pre- and Post-Contrast	87","c.ctp",87,"",NA,NA,"","",NA,NA,NA,NA
"all","all","Cost of MRI","NHS reference costs 22/23. www.england.nhs.uk/pay-syst/national-tariff/national-tariff-payment-system/","RD03Z	Magnetic Resonance Imaging Scan of One Area, with Pre- and Post-Contrast	175","c.mri",175,"",NA,NA,"","",NA,NA,NA,NA
"all","all","Cost of ivt","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.","Values inflated using the NHS Cost Inflation index for 2023","c.ivt",1506.63754524456,"uniform",393.359495160224,2659.95226403928,"high value from Price et al inflated, lower is the same difference applied","",NA,NA,NA,NA
"all","all","Cost per MT procedure and LVO","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.","Values inflated using the NHS Cost Inflation index for 2023, the incremental cost of MT will be the difference between this value and the c.lvo value ","c.mt",9937.01293721125,"gamma",6218.27169037008,14994.1595980812,"NIHR","y",8373.43270211921,11438.6631593123,NA,NA
"all","all","Cost per LVO no MT","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.","Values inflated using the NHS Cost Inflation index for 2023","c.lvo",797.230784821412,"gamma",435.275663155066,1247.32513690836,"NIHR","y",646.086066683582,929.301186192761,NA,NA
"all","all","national stroke number","https://fingertips.phe.org.uk/search/Hospital%20admissions%20rate#page/4/gid/1/pat/159/par/K02000001/ati/15/are/E92000001/iid/90986/age/1/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1","Values for England","n.stroke",93753,"",NA,NA,"","",NA,NA,NA,NA
"all","all","number of ASCs","https://www.strokeaudit.org/Documents/National/Clinical/Apr2022Mar2023/Apr2022Mar2023-AnnualReport.aspx & an IDSN-hospital linkage from SSNAP Acute Organisational Audit 2021 - Named site results ","after data cleaning the list of ASCs and CSCs with stroke patients numbers reported England, totaled the number with a CSC flag of 0","n.asc",129,"",NA,NA,"","",NA,NA,NA,NA
"all","all","number of CSCs","https://www.strokeaudit.org/Documents/National/Clinical/Apr2022Mar2023/Apr2022Mar2023-AnnualReport.aspx & an IDSN-hospital linkage from SSNAP Acute Organisational Audit 2021 - Named site results ","after data cleaning the list of ASCs and CSCs with stroke patients numbers reported England, totaled the number with a CSC flag of 1","n.csc",25,"",NA,NA,"","",NA,NA,NA,NA
"ASC","intervention","OR for MT for ASC","Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","","or.mt",2.34,"lognormal",1.78,3.09,"","",NA,NA,NA,NA
"CSC","intervention","OR for MT for CSC","Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","","or.mt",1.28,"lognormal",1.03,1.58,"","",NA,NA,NA,NA
"all","intervention","OR for ivt","Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] , suppementary table 5","","or.ivt",1.99,"lognormal",1.79,2.22,"","",NA,NA,NA,NA
"all","all","distribution of ivt patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material","dist.ivt",0.142,"",NA,NA,"","",NA,NA,0,NA
"all","all","distribution of ivt patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material","dist.ivt",0.168,"",NA,NA,"","",NA,NA,1,NA
"all","all","distribution of ivt patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material","dist.ivt",0.084,"",NA,NA,"","",NA,NA,2,NA
"all","all","distribution of ivt patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material","dist.ivt",0.191,"",NA,NA,"","",NA,NA,3,NA
"all","all","distribution of ivt patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material","dist.ivt",0.06,"",NA,NA,"","",NA,NA,4,NA
"all","all","distribution of ivt patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material","dist.ivt",0.06,"",NA,NA,"","",NA,NA,5,NA
"all","all","distribution of ivt patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material","dist.ivt",0.295,"",NA,NA,"","",NA,NA,6,NA
"all","all","distribution of no ivt patients in that mRS score","Price et al",NA,"dist.noivt",0.103,"",NA,NA,"","",NA,NA,0,NA
"all","all","distribution of no ivt patients in that mRS score","Price et al",NA,"dist.noivt",0.122,"",NA,NA,"","",NA,NA,1,NA
"all","all","distribution of no ivt patients in that mRS score","Price et al",NA,"dist.noivt",0.061,"",NA,NA,"","",NA,NA,2,NA
"all","all","distribution of no ivt patients in that mRS score","Price et al",NA,"dist.noivt",0.225,"",NA,NA,"","",NA,NA,3,NA
"all","all","distribution of no ivt patients in that mRS score","Price et al",NA,"dist.noivt",0.071,"",NA,NA,"","",NA,NA,4,NA
"all","all","distribution of no ivt patients in that mRS score","Price et al",NA,"dist.noivt",0.071,"",NA,NA,"","",NA,NA,5,NA
"all","all","distribution of no ivt patients in that mRS score","Price et al",NA,"dist.noivt",0.347,"",NA,NA,"","",NA,NA,6,NA
"all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.111,"",NA,NA,"","",NA,NA,0,NA
"all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.181,"",NA,NA,"","",NA,NA,1,NA
"all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.186,"",NA,NA,"","",NA,NA,2,NA
"all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.161,"",NA,NA,"","",NA,NA,3,NA
"all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.159,"",NA,NA,"","",NA,NA,4,NA
"all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.055,"",NA,NA,"","",NA,NA,5,NA
"all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.147,"",NA,NA,"","",NA,NA,6,NA
"all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.063,"",NA,NA,"","",NA,NA,0,NA
"all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.098,"",NA,NA,"","",NA,NA,1,NA
